source,target,generes
TINI,Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']"
TINI,Luck Ra,"['cumbia pop', 'trap argentino', 'trap triste']"
TINI,BM,['previa']
TINI,Marama,['cumbia pop']
TINI,Migrantes,['cumbia pop']
TINI,Mau y Ricky,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
TINI,j mena,"['cumbia pop', 'pop argentino']"
TINI,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
TINI,Callejero Fino,['rkt']
TINI,Sofía Reyes,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
Rosalia,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
KAROL G,Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,Greeicy,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
KAROL G,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
KAROL G,Camilo,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
KAROL G,Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
KAROL G,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
KAROL G,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
