N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
13.0	Australia		«Sound of Silence»	2			511.0	Dami Im
14.0	Chipre		«Alter Ego»	21			96.0	Minus One
15.0	Serbia		«Goodbye (Shelter)»	18			115.0	Sanja Vučić
16.0	Lituania		«I've Been Waiting for This Night»	9			200.0	Donny Montell
17.0	Croacia		«Lighthouse»	23			73.0	Nina Kraljić
18.0	Rusia		«You Are the Only One»	3			491.0	Sergey Lazarev
19.0	España		«Say Yay!»	22			77.0	Barei
20.0	Letonia		«Heartbeat»	15			132.0	Justs
21.0	Ucrania		«1944»	1			534.0	Jamala
22.0	Malta		«Walk on Water»	12			153.0	Ira Losco
23.0	Georgia		«Midnight Gold»	20			104.0	Nika Kocharov & Young Georgian Lolitaz
24.0	Austria		«Loin d'ici»	13			151.0	Zoë
25.0	Reino Unido		«You're Not Alone»	24			62.0	Joe & Jake
26.0	Armenia		«LoveWave»	7			249.0	Iveta Mukuchyan
1.0	Israel	IMRI	«I Feel Alive»	23	39.0			
2.0	Polonia	Kasia Moś	«Flashlight»	22	64.0			
3.0	Bielorrusia	Naviband	«Story of My Life»	17	83.0			
4.0	Austria	Nathan Trent	«Running on Air»	16	93.0			
5.0	Armenia	Artsvik	«Fly with Me»	18	79.0			
6.0	Países Bajos	O'G3NE	«Lights and Shadows»	11	150.0			
7.0	Moldavia	SunStroke Project	«Hey, Mamma!»	3	374.0			
8.0	Hungría	Joci Pápai	«Origo»	8	200.0			
9.0	Italia	Francesco Gabbani	«Occidentali's Karma»	6	334.0			
10.0	Dinamarca	Anja Nissen	«Where I Am»	20	77.0			
11.0	Portugal	Salvador Sobral	«Amar pelos dois»	1	758.0			
12.0	Azerbaiyán	Dihaj	«Skeletons»	14	120.0			
13.0	Croacia	Jacques Houdek	«My Friend»	13	128.0			
14.0	Australia	Isaiah Firebrace	«Don't Come Easy»	9	173.0			
15.0	Grecia	Demy	«This Is Love»	19	77.0			
16.0	España	Manel Navarro	«Do It for Your Lover»	26	5.0			
17.0	Noruega	JOWST & Aleksander Walmann	«Grab the Moment»	10	158.0			
18.0	Reino Unido	Lucie Jones	«Never Give Up on You»	15	111.0			
